episode,return,steps,ate,dopamine_mean,d_star,efficiency,turns,spike_count,firing_rate,E_rate,I_rate,ATP_proxy,DA_mean,ACh_mean,E_I_balance
0,17.500000000000004,50,0,0.7418227552715689,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,0.7799970507621765,1.3062663078308105,0.999999886467351
1,12.500000000000005,50,0,0.7861180466413498,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,0.47814449667930603,1.2407433986663818,0.999999886467351
2,8.500000000000005,50,1,0.5928697568178177,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,0.35988277196884155,1.2168400287628174,0.999999886467351
3,13.500000000000005,50,0,0.7265475165843963,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,0.4393062889575958,1.2082126140594482,0.999999886467351
4,20.499999999999996,50,0,0.8842415821552276,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,0.7244744300842285,1.2051972150802612,0.999999886467351
5,18.5,50,0,0.8880530786514282,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,0.5772660374641418,1.2039860486984253,0.999999886467351
6,20.499999999999996,50,1,0.8781719768047332,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,0.5838693976402283,1.2036057710647583,0.999999886467351
7,27.49999999999998,50,0,1.0597052001953124,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,0.6190998554229736,1.2034920454025269,0.999999886467351
8,24.55669373788524,50,1,0.9890341401100159,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,0.7059633731842041,1.20339834690094,0.999999886467351
9,20.443306262114756,50,0,0.9087127113342285,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,1.368539810180664,1.2033793926239014,0.999999886467351
10,15.500000000000005,50,0,0.824485964179039,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,0.412972629070282,1.203255534172058,0.999999886467351
11,8.556693737885244,50,1,0.5284549641609192,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,0.5761176347732544,1.2032361030578613,0.999999886467351
12,13.500000000000009,50,0,0.7313010853528976,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,0.40859198570251465,1.2032310962677002,0.999999886467351
13,8.500000000000004,50,0,0.5593105214834213,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,0.5868741273880005,1.2032339572906494,0.999999886467351
14,10.556693737885247,50,1,0.6206804925203323,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,0.4627540409564972,1.2032479047775269,0.999999886467351
15,12.500000000000005,50,0,0.7068910026550292,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,0.4605429172515869,1.2032524347305298,0.999999886467351
16,16.443306262114763,50,0,0.7989617818593979,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,1.3631691932678223,1.2032796144485474,0.999999886467351
17,14.556693737885247,50,1,0.7516053915023804,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,0.6106165647506714,1.2032735347747803,0.999999886467351
18,19.499999999999996,50,0,0.8835989308357238,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,0.5516449809074402,1.2032952308654785,0.999999886467351
19,6.5566937378852455,50,1,0.49156761467456817,1,0.02,0,33,0.66,1.0499999523162842,1.0500000715255737,33.210000002384184,1.2427552938461304,1.2031891345977783,0.999999886467351
