# Direct brain oscillations (no synthetic overlay)
t,motor,sensory,thalamus,cerebellum,parietal,pfc,limbic,hippocampus,insula,basal_ganglia,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10
0,0.9587069749832153,-0.05527690798044205,-14.139480590820312,0.5,0.7597109079360962,11.665042877197266,0.9161965847015381,0.001228109817020595,0.0010000000474974513,-20.669240951538086,60.88744354248047,-27.2694149017334,71.39675903320312,-7.438145160675049,-39.97161102294922,3.3748245239257812,-8.327935218811035,-29.65451431274414,9.034996032714844,-16.497434616088867
1,1.949832797050476,-0.053136467933654785,-11.63520622253418,0.5,-0.7014806866645813,20.159543991088867,-0.1851091831922531,0.0012061231536790729,0.0010000000474974513,-17.429494857788086,72.58609008789062,-3.542949914932251,79.96875762939453,-2.4584767818450928,-46.83707809448242,14.984114646911621,-36.466636657714844,-55.670143127441406,0.20068085193634033,-35.221431732177734
2,1.4404096603393555,-0.0542825423181057,-9.583778381347656,0.5,0.03147929534316063,19.58481788635254,-0.8494709134101868,0.0011889886809512973,0.0010000000474974513,-14.189297676086426,78.0957260131836,0.6134414672851562,83.41057586669922,-5.207774639129639,-40.76863098144531,23.808752059936523,-31.730876922607422,-57.02577590942383,-8.126272201538086,-44.52439498901367
3,0.9622864723205566,-0.05527776479721069,-7.903123378753662,0.5,0.8137218356132507,20.8546199798584,0.36598262190818787,0.001218099961988628,0.0010000000474974513,-11.554035186767578,75.833740234375,21.411556243896484,81.29578399658203,2.635070323944092,-37.773799896240234,27.7283935546875,-35.70390701293945,-59.27183532714844,-12.077217102050781,-52.35444259643555
4,1.9533967971801758,-0.053138136863708496,-6.526040554046631,0.5,-0.6393696069717407,21.098838806152344,0.8002379536628723,0.0012261593947187066,0.0010000000474974513,-9.776727676391602,78.40973663330078,27.3782958984375,71.38442993164062,6.623810768127441,-36.9652214050293,23.929096221923828,-42.50972366333008,-64.5964126586914,-19.12424087524414,-55.261329650878906
5,1.4332274198532104,-0.054271236062049866,-5.397515773773193,0.5,0.09478507936000824,19.90926742553711,-0.5207230448722839,0.0011978440452367067,0.0010000000474974513,-7.989892959594727,76.01409149169922,29.85759735107422,76.30594635009766,0.640312671661377,-33.461360931396484,31.211782455444336,-37.27687072753906,-61.455257415771484,-21.632823944091797,-61.31233215332031
6,0.9659423828125,-0.05527684465050697,-4.472507953643799,0.5,0.8921923637390137,19.842620849609375,-0.6723846197128296,0.0011938518146052957,0.0010000000474974513,-6.53929328918457,72.82627868652344,32.680294036865234,70.94068908691406,3.274996042251587,-29.711135864257812,30.159807205200195,-43.413551330566406,-62.396366119384766,-16.1063289642334,-60.80857467651367
7,1.956880807876587,-0.053138356655836105,-3.7141408920288086,0.5,-0.5601133704185486,20.98151397705078,0.6738779544830322,0.0012239377247169614,0.0010000000474974513,-5.564605236053467,74.83402252197266,38.965087890625,69.30384826660156,11.460695266723633,-22.28773307800293,34.514564514160156,-47.459251403808594,-67.62849426269531,-26.66269874572754,-62.37847137451172
8,1.4260497093200684,-0.05425853282213211,-3.09222412109375,0.5,0.17003600299358368,20.940122604370117,0.5496693849563599,0.0012216552859172225,0.0010000000474974513,-4.576574802398682,72.9969482421875,45.28712463378906,63.63996887207031,7.398602485656738,-20.376840591430664,39.96544647216797,-40.66677474975586,-64.39387512207031,-24.13767433166504,-61.58349609375
9,0.9696741104125977,-0.055274609476327896,-2.5820388793945312,0.5,0.9781619906425476,19.749784469604492,-0.7661805152893066,0.0011913030175492167,0.0010000000474974513,-3.775618076324463,74.32782745361328,34.54492950439453,65.77760314941406,12.17670726776123,-20.34653091430664,37.63097381591797,-47.587974548339844,-57.973793029785156,-26.573516845703125,-60.977577209472656
10,1.9602837562561035,-0.053137511014938354,-2.1633496284484863,0.5,-0.4772915244102478,19.972618103027344,-0.3815881609916687,0.0012013685191050172,0.0010000000474974513,-3.241410732269287,73.16557312011719,38.798309326171875,60.30071258544922,13.416244506835938,-19.066341400146484,33.6595344543457,-46.85352325439453,-66.46896362304688,-22.24117660522461,-59.50090789794922
11,1.418877363204956,-0.054244812577962875,-1.8195873498916626,0.5,0.24576319754123688,21.239604949951172,0.8695531487464905,0.0012273354222998023,0.0010000000474974513,-2.692558765411377,74.5948486328125,44.26173400878906,63.37960433959961,9.771463394165039,-20.064544677734375,35.95949935913086,-52.144466400146484,-69.3968734741211,-21.30706214904785,-67.54391479492188
12,0.9734813570976257,-0.055271416902542114,-1.5371878147125244,0.5,1.0620460510253906,20.70673179626465,0.2088082730770111,0.001214885851368308,0.0010000000474974513,-2.2480125427246094,71.19078826904297,54.411495208740234,55.40086364746094,8.675719261169434,-20.63398551940918,31.71664810180664,-52.06324768066406,-64.06719970703125,-25.109323501586914,-62.16624069213867
13,1.963605523109436,-0.05313592031598091,-1.3050448894500732,0.5,-0.39839836955070496,19.478025436401367,-0.8837078213691711,0.0011880230158567429,0.0010000000474974513,-1.9555253982543945,72.90966033935547,49.45127868652344,61.19569396972656,13.546666145324707,-23.637462615966797,33.65409469604492,-48.28568649291992,-66.55685424804688,-25.449344635009766,-67.02998352050781
14,1.411711573600769,-0.05423036217689514,-1.1140658855438232,0.5,0.315811425447464,20.387880325317383,-0.022802868857979774,0.0012098571751266718,0.0010000000474974513,-1.6482598781585693,67.74604797363281,47.79585647583008,59.622802734375,10.742365837097168,-18.936180114746094,35.86415100097656,-50.09921646118164,-64.73963165283203,-29.495506286621094,-65.3941421508789
15,0.9773632884025574,-0.055267512798309326,-0.9568063020706177,0.5,1.1388731002807617,21.383136749267578,0.9183141589164734,0.0012281446252018213,0.0010000000474974513,-1.399404525756836,77.87117004394531,50.595848083496094,60.82833480834961,11.739843368530273,-14.636149406433105,34.05018615722656,-52.24736022949219,-66.47100830078125,-28.18721580505371,-65.96916961669922
16,1.9668453931808472,-0.05313378944993019,-0.8271704912185669,0.5,-0.32715141773223877,20.18816566467285,-0.16286975145339966,0.0012066451599821448,0.0010000000474974513,-1.2395466566085815,73.6830062866211,57.09840774536133,57.33803176879883,14.275288581848145,-17.475446701049805,40.79495620727539,-48.12458419799805,-63.95796203613281,-23.787538528442383,-67.51700592041016
17,1.4045535326004028,-0.05421537533402443,-0.7201679944992065,0.5,0.37730714678764343,19.56697654724121,-0.8558903932571411,0.0011888081207871437,0.0010000000474974513,-1.065298080444336,66.7413101196289,53.78898620605469,57.81071090698242,11.410305976867676,-7.773676872253418,32.5793571472168,-50.61732482910156,-60.46443176269531,-27.549129486083984,-68.7140884399414
18,0.9813194274902344,-0.055263079702854156,-0.631712794303894,0.5,1.2064933776855469,20.83889389038086,0.344711035490036,0.0012176743475720286,0.0010000000474974513,-0.9240323305130005,70.23804473876953,53.81989669799805,54.752166748046875,15.805742263793945,-16.635417938232422,36.02357482910156,-51.778343200683594,-64.09939575195312,-27.179670333862305,-69.1102294921875
19,1.9700030088424683,-0.05313127115368843,-0.5584591031074524,0.5,-0.26498809456825256,21.11709213256836,0.8115000128746033,0.0012263525277376175,0.0010000000474974513,-0.8369281888008118,71.95951080322266,52.662532806396484,57.403324127197266,7.94891357421875,-15.519472122192383,40.900718688964844,-54.661720275878906,-69.02891540527344,-30.249971389770508,-75.3675765991211
