episode,return,steps,ate,dopamine_mean,d_star,efficiency,turns,spike_count,firing_rate,E_rate,I_rate,ATP_proxy,DA_mean,ACh_mean,E_I_balance
0,3.14905343250586,196,0,0.6309134624328236,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.2462671548128128,1.2085206508636475,0.999999886467351
1,3.582453932070067,196,0,0.5098513776854593,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.2881716787815094,1.2032541036605835,0.999999886467351
2,2.1651637831720216,196,0,0.6047524761180488,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.39478012919425964,1.2032748460769653,0.999999886467351
3,6.104835053868478,196,0,0.6572854252798217,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.5243598222732544,1.203294277191162,0.999999886467351
4,5.492040104310506,196,0,0.6995294034785154,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.47620290517807007,1.2032732963562012,0.999999886467351
5,0.9784414012126914,196,0,0.43500327106033054,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.16634760797023773,1.2031033039093018,0.999999886467351
6,1.8460544725168386,196,0,0.5285556803704524,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.32489216327667236,1.203176498413086,0.999999886467351
7,5.611365713581109,196,0,0.6378309004464928,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.3229752779006958,1.2031781673431396,0.999999886467351
8,4.806127282788478,197,0,0.6660624296229503,1,0.005076142131979695,0,33,0.16751269035532995,1.0499999523162842,1.0500000715255737,33.210000002384184,1.2114979028701782,1.203275442123413,0.999999886467351
9,1.6716944428846576,196,0,0.5553502272434381,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.19486811757087708,1.203113079071045,0.999999886467351
10,2.5862584829478856,196,0,0.5624026003844884,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.3134945333003998,1.2031744718551636,0.999999886467351
11,3.2714280730173693,196,0,0.5799543198426159,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,1.169729232788086,1.203212022781372,0.999999886467351
12,3.892306474177819,196,0,0.5899813531004653,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.362984299659729,1.2032239437103271,0.999999886467351
13,3.8842230225753345,196,0,0.5325182180623619,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.33760204911231995,1.203190565109253,0.999999886467351
14,1.4249597727409742,196,0,0.4439888046864344,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.3487091660499573,1.2031779289245605,0.999999886467351
15,4.258366753592094,196,0,0.7128517682455024,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,1.1410349607467651,1.2031970024108887,0.999999886467351
16,5.3646310434374245,196,0,0.5839655280721431,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.3808131217956543,1.2032445669174194,0.999999886467351
17,3.892306474177825,196,0,0.5570105425253207,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.351175457239151,1.203202486038208,0.999999886467351
18,7.209182795316304,197,0,0.6851424214803628,1,0.005076142131979695,0,33,0.16751269035532995,1.0499999523162842,1.0500000715255737,33.210000002384184,1.218824863433838,1.2032839059829712,0.999999886467351
19,3.939257442936912,196,0,0.606827975231774,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.3282257318496704,1.203177809715271,0.999999886467351
20,3.32646249337894,196,0,0.5423305030075871,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.41742536425590515,1.2032876014709473,0.999999886467351
21,4.9985707640231425,196,0,0.6343909461735463,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.4011808931827545,1.2032743692398071,0.999999886467351
22,3.939257442936901,196,0,0.4906922003292308,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.3847849667072296,1.2032661437988281,0.999999886467351
23,3.0401815632743685,196,0,0.5235464729520739,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.17785367369651794,1.2031071186065674,0.999999886467351
24,4.3357758144651815,196,0,0.6038391681350007,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.3862578570842743,1.2032324075698853,0.999999886467351
25,5.920475024236302,197,0,0.6327869981376048,1,0.005076142131979695,0,33,0.16751269035532995,1.0499999523162842,1.0500000715255737,33.210000002384184,1.1924545764923096,1.203275442123413,0.999999886467351
26,3.3264624933789393,196,0,0.5504519508353302,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.29664602875709534,1.203161358833313,0.999999886467351
27,4.313401173953673,196,0,0.7011851762630501,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.4569348394870758,1.2032349109649658,0.999999886467351
28,4.2583667535920995,196,0,0.701803197818143,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.4056219756603241,1.2032814025878906,0.999999886467351
29,2.0377547222989465,196,0,0.45768912345627133,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.11145710200071335,1.2030842304229736,0.999999886467351
30,4.668324471462279,196,0,0.5451391954355094,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.20519745349884033,1.2031172513961792,0.999999886467351
31,5.16432720620446,196,0,0.5820030893902389,1,0.00510204081632653,0,33,0.1683673469387755,1.0499999523162842,1.0500000715255737,33.210000002384184,0.25944894552230835,1.2031397819519043,0.999999886467351
