,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,1,631690698,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267104205,1086,43236151296.0,68735696.0,0.0,0.0,0.0842012276
1,1,631690985,False,0.619463384151459,8930,6890,4980,0.0122201982180056,0.000306795176584274,0.0534988567233086,174.37971496582,0.0028258489875,267104205,771,1403140560768.0,7519073280.0,402261824.0,2306815.5,9.210864768
2,2,631689814,False,0.522988021373749,3830,5360,9020,0.00136974540076833,0.00231242156587541,1.00356686115265,433.989532470703,0.0003167455703125,267104205,704,38540771328.0,111816896.0,112215728.0,258567.8125,0.1369756976
3,1,631690736,False,0.20052345097065,3450,4000,5080,2.63444758810977e-05,5.38885906280484e-05,0.0423881001770496,786.587646484375,6.09200515136719e-06,267104205,1054,37084024832.0,92284200.0,3911751.75,4973.0654296875,0.113048145
4,3,631691912,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267104205,106,2114947264.0,6501600.0,0.0,0.0,0.00796446
5,1,631690861,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267104205,182305709,68054679552.0,132363904.0,0.0,0.0,0.1621457824
6,2,631689104,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267104205,147,1824622336.0,6518700.0,0.0,0.0,0.0079854075
7,3,631693033,False,0.0867486745119095,7770,2510,5200,1.91577060029153e-05,1.93172977070659e-06,0.000583130560638031,301.869634915205,4.43010687268511e-06,267104205,1100,623499011584.0,1872111632.0,1091685.50554514,3616.4137736205,2.2933367492
8,2,631689540,False,0.423739045858383,7550,6630,6850,0.00150887499245303,0.000164521682770263,0.0635416945581024,386.220791619494,0.000348918470357132,267104205,467,517360224256.0,1731269700.0,110007810.475098,284831.404373169,2.1208053825
9,1,631689026,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267104205,576073699,4398832128.0,22557600.0,0.0,0.0,0.02763306
10,1,631690801,False,0.0355031900107861,7830,6650,5190,2.06208004367374e-06,4.43551425632904e-06,0.000817710708361119,184.355316162109,4.76843885803223e-07,267104205,1004,20073041920.0,87759904.0,71762.2109375,389.260314941406,0.1075058824
11,1,631690909,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267104205,882,27181621248.0,82704600.0,0.0,0.0,0.101313135
12,3,631691817,False,0.429082244634628,5120,2550,5710,0.00224127245503847,0.00374012423643709,1.85084297345321,494.861361936028,0.00051828107734375,267104205,19,36473903104.0,113121000.0,209369208.0,423086.59375,0.138573225
13,3,631692011,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267104205,187,195842998272.0,490786208.0,0.0,0.0,0.6012131048
14,1,631689192,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267104205,312782612,40181178368.0,65832300.0,0.0,0.0,0.0806445675
15,1,631690953,False,0.0264604389667511,10120,1430,4500,6.54816136983766e-06,2.07500147553219e-06,0.000417350674979389,201.132705688477,1.51422381591797e-06,267104205,820,212461289472.0,595710912.0,248620.359375,1236.10107421875,0.7297458672
16,1,631690606,False,0.536684691905975,9080,5280,3980,0.00653750227450064,0.00165084092861455,0.485519418834741,294.104301885832,0.00151175896279297,267104205,933,61839888128.0,747551704.0,362950868.875,1234088.94921875,0.9157508374
17,2,631691460,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267104205,312782566,41890590720.0,100518304.0,0.0,0.0,0.1231349224
18,1,631690950,False,0.124304555356503,7520,2620,5450,0.000156735767313245,8.00957502222768e-05,0.0107783112861661,134.567829831855,3.62442246406913e-05,267104205,824,52601764480.0,369396904.0,3981474.81945801,29587.1221556664,0.4525112074
19,1,631690984,False,0.136672392487526,4180,3440,5450,6.92055480138218e-05,2.89569379674504e-05,0.0224064979702234,773.786804199219,1.60033760742187e-05,267104205,772,232457912320.0,451152000.0,10108736.0,13063.98046875,0.5526612
