,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,2,632278508,False,0.971164345741272,7310,1380,8950,1.44572618237931,0.00137019293395656,2.19187712878538,1599.68503300928,0.0176977205760796,178487444,322,3760121834496.0,10543857350.0,23110839774.6406,14447118.837616,12.91622525375
1,2,632278437,False,0.0409155786037445,12290,4720,6730,0.00024016199971894,7.11978509571054e-06,0.000746531470213085,104.853088378906,2.93992044677734e-06,178487444,225,65200603136.0,337079712.0,251640.609375,2399.93505859375,0.4129226472
2,3,632280489,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,178487444,749,80836218880.0,339796688.0,0.0,0.0,0.4162509428
3,3,632280613,False,0.501453101634979,11770,5190,3390,0.0468345834027776,0.00112636277652631,0.181797271799611,161.402059432638,0.00057332113125,178487444,153,34586025984.0,415512000.0,75538948.0,468017.25,0.5090022
4,2,632278638,False,0.0557432919740677,2470,4150,7140,4.23348833691864e-05,6.280076377152e-06,0.0,0.0,5.18238478088379e-07,178487444,538,9087414272.0,67364120.0,0.0,423.051818847656,0.082521047
5,1,632279438,False,0.17280201613903,4710,6770,5240,0.000978786310365647,1.47402694075489e-05,0.00413652799541322,280.627706390142,1.19817202148437e-05,178487444,826,196938797056.0,663556128.0,2744818.5,9780.99609375,0.8128562568
6,1,632279682,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,178487444,440,48134840320.0,216396000.0,0.0,0.0,0.2650851
7,2,632278568,False,0.194292455911636,7770,4360,7080,0.00158934816699873,0.000175144976311011,0.0948932507996654,541.79830217431,1.94558555419922e-05,178487444,406,19481771520.0,90681054.0,8605020.0,15882.3310546875,0.11108429115
8,1,632279477,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,178487444,765,5399310336.0,25673400.0,0.0,0.0,0.031449915
9,3,632280039,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,178487444,75,901272576.0,6784200.0,0.0,0.0,0.008310645
10,3,632280751,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,178487444,1081,1931657920.0,9745200.0,0.0,0.0,0.01193787
11,1,632279874,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,178487444,163,93660332032.0,352257408.0,0.0,0.0,0.4315153248
12,3,632280305,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,178487444,456,3357968128.0,15238455.5,0.0,0.0,0.0186671079875
13,1,632279616,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,178487444,564,60232744960.0,186825600.0,0.0,0.0,0.22886136
14,1,632279299,False,0.621932566165924,9920,7070,5630,3.54770821595846,0.000163628836162388,0.0396796688437462,242.498016357422,0.0434289352,178487444,997,57119164844276.5,216662245376.0,8597086208.0,35452192.0,265.4112505856
15,2,632278523,False,0.43009951710701,6470,1720,7650,0.0113652001949487,0.000112487134066932,0.0831737807831388,739.407057287536,0.000139126025241089,178487444,337,370004085248.0,1009646716.0,83976134.625,113572.26550293,1.2368172271
16,3,632280007,False,0.291056722402573,8620,2830,6480,0.007463811492063,7.3417218063787e-05,0.0423448261959213,576.7696912614,9.136754375e-05,178487444,26,317406396416.0,1015916320.0,43018800.0,74585.75,1.244497492
17,3,632280179,False,0.0778354406356812,7140,910,6680,0.000351512704619708,5.26282885513686e-06,0.00311973471535347,592.786655471116,4.30300958862305e-06,178487444,274,190566334464.0,667447296.0,2082258.5,3512.66088867188,0.8176229376
18,1,632279427,False,0.410955518484116,4960,6750,2710,0.132596380003573,0.000530067156189632,0.109673055432328,206.904076496096,0.00162316606789322,178487444,840,242837259776.0,2499746512.0,274154837.777344,1325033.52481079,3.0621894772
19,1,632279885,False,0.0174839682877064,6070,3570,5580,5.06677223550423e-05,2.53428743235418e-06,9.8508047813084e-05,38.8701171875,6.2024413986206e-07,178487444,149,45737222144.0,199788608.0,19680.78515625,506.321746826172,0.2447410448
20,1,632279937,False,0.501453101634979,11770,5190,3390,0.0626174852700451,0.000244515787853909,0.0362176999920891,148.120087909121,0.000766526034454346,178487444,73,135088679780.0,2559080310.60938,92684002.9453125,625735.538330078,3.13487338049648
21,3,632280067,False,0.0563502535223961,9900,7120,4480,0.000870453396527471,2.86900393823631e-05,0.00743388564313248,259.110332476656,1.06555730773926e-05,178487444,122,68233693184.0,303186304.0,2253852.3125,8698.42700195312,0.3714032224
22,3,632280406,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,178487444,625,266234519552.0,661093856.0,0.0,0.0,0.8098399736
23,1,632279912,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,178487444,115,802988032.0,3266100.0,0.0,0.0,0.0040009725
