3.138994574546813965e-01,2.822854816913604736e-01,2.862720489501953125e-01,2.961307764053344727e-01,2.983942031860351562e-01,3.831845223903656006e-01,3.175161778926849365e-01,2.983942031860351562e-01,3.613759279251098633e-01,3.207187354564666748e-01
3.161122202873229980e-01,2.935106754302978516e-01,3.038852810859680176e-01,3.104331493377685547e-01,3.307038545608520508e-01,3.669347167015075684e-01,3.503919541835784912e-01,3.307038545608520508e-01,1.690642535686492920e-01,3.830078244209289551e-01
3.132538497447967529e-01,2.907918989658355713e-01,2.866463959217071533e-01,3.084474205970764160e-01,2.920106649398803711e-01,3.690891563892364502e-01,3.075392842292785645e-01,2.920106649398803711e-01,3.955477476119995117e-01,3.018831312656402588e-01
3.469343781471252441e-01,3.208288848400115967e-01,3.241283893585205078e-01,3.158437609672546387e-01,3.201947510242462158e-01,3.238140046596527100e-01,3.218851089477539062e-01,3.201947510242462158e-01,2.266198396682739258e-01,3.285355865955352783e-01
3.069538474082946777e-01,2.962302565574645996e-01,3.131226003170013428e-01,3.005017638206481934e-01,3.245902061462402344e-01,2.976698875427246094e-01,3.265498578548431396e-01,3.245902061462402344e-01,2.843191623687744141e-01,3.513557910919189453e-01
3.548257946968078613e-01,3.422251939773559570e-01,3.292964696884155273e-01,3.483985066413879395e-01,3.276003599166870117e-01,3.483574092388153076e-01,3.321423530578613281e-01,3.276003599166870117e-01,1.342651695013046265e-01,3.261668980121612549e-01
3.068926334381103516e-01,3.307093679904937744e-01,3.286162912845611572e-01,3.123853802680969238e-01,3.112013041973114014e-01,2.598588168621063232e-01,2.970716357231140137e-01,3.112013041973114014e-01,3.751326799392700195e-01,2.845479249954223633e-01
2.857491672039031982e-01,3.076833188533782959e-01,3.374492526054382324e-01,3.019671142101287842e-01,3.267041742801666260e-01,2.468587160110473633e-01,3.065799474716186523e-01,3.267041742801666260e-01,3.786340951919555664e-01,2.905393838882446289e-01
3.242146074771881104e-01,3.485732376575469971e-01,3.168557286262512207e-01,3.437640070915222168e-01,3.146758079528808594e-01,2.830058038234710693e-01,3.045951724052429199e-01,3.146758079528808594e-01,3.034293055534362793e-01,2.879320979118347168e-01
2.863006889820098877e-01,3.409669399261474609e-01,3.312574326992034912e-01,3.200110495090484619e-01,3.138639330863952637e-01,2.427325248718261719e-01,2.936628460884094238e-01,3.138639330863952637e-01,3.974696397781372070e-01,2.706460356712341309e-01
