episode,return,steps,ate,dopamine_mean,d_star,efficiency,turns,spike_count,firing_rate,E_rate,I_rate,ATP_proxy,DA_mean,ACh_mean,E_I_balance
0,0.029325609270595604,10,0,0.5091849315911532,1,0.1,0,33,3.3,1.0499999523162842,1.0500000715255737,33.210000002384184,0.27760258316993713,1.2695127725601196,0.999999886467351
1,-0.08999999999999997,10,0,0.7223695278167724,1,0.1,0,33,3.3,1.0499999523162842,1.0500000715255737,33.210000002384184,1.2173177003860474,1.327988624572754,0.999999886467351
2,1.1967346701436834,9,1,0.9867031739817725,1,0.1111111111111111,0,33,3.6666666666666665,1.0499999523162842,1.0500000715255737,33.210000002384184,1.2691560983657837,1.3546900749206543,0.999999886467351
3,-0.11999999999999994,10,0,0.7998238682746888,1,0.1,0,33,3.3,1.0499999523162842,1.0500000715255737,33.210000002384184,0.4584425985813141,1.3316199779510498,0.999999886467351
4,-0.010674390729404432,10,0,0.42503844797611234,1,0.1,0,33,3.3,1.0499999523162842,1.0500000715255737,33.210000002384184,0.4008849859237671,1.3081879615783691,0.999999886467351
5,2.2167346701436834,1,1,0.395567387342453,1,1.0,0,33,33.0,1.0499999523162842,1.0500000715255737,33.210000002384184,0.395567387342453,1.3060849905014038,0.999999886467351
6,1.1367346701436831,10,1,0.7108751177787781,2,0.2,0,33,3.3,1.0499999523162842,1.0500000715255737,33.210000002384184,1.2238073348999023,1.2872951030731201,0.999999886467351
7,-0.2593256092705956,10,0,0.5088613241910934,1,0.1,0,33,3.3,1.0499999523162842,1.0500000715255737,33.210000002384184,0.3971744775772095,1.2719060182571411,0.999999886467351
8,0.06170024978210178,10,0,0.3728853940963745,2,0.2,0,33,3.3,1.0499999523162842,1.0500000715255737,33.210000002384184,0.35550183057785034,1.2593016624450684,0.999999886467351
9,-0.36559768823801037,10,0,0.6183938562870026,2,0.2,0,33,3.3,1.0499999523162842,1.0500000715255737,33.210000002384184,0.3934873938560486,1.2490756511688232,0.999999886467351
10,1.83,2,1,0.7429251968860626,2,1.0,0,33,16.5,1.0499999523162842,1.0500000715255737,33.210000002384184,1.0986757278442383,1.247249722480774,0.999999886467351
11,0.13559768823801036,10,0,0.5404991030693054,2,0.2,0,33,3.3,1.0499999523162842,1.0500000715255737,33.210000002384184,1.1776893138885498,1.2391901016235352,0.999999886467351
12,-0.5284349199257852,10,0,0.6505816578865051,1,0.1,0,33,3.3,1.0499999523162842,1.0500000715255737,33.210000002384184,0.39393019676208496,1.2326409816741943,0.999999886467351
13,-0.19932560927059548,10,0,0.8678415536880493,1,0.1,0,33,3.3,1.0499999523162842,1.0500000715255737,33.210000002384184,1.2123242616653442,1.2273025512695312,0.999999886467351
14,-0.26932560927059557,10,0,0.5644388616085052,2,0.2,0,33,3.3,1.0499999523162842,1.0500000715255737,33.210000002384184,1.1041369438171387,1.2228624820709229,0.999999886467351
15,1.2360602794142788,10,1,0.6374384343624115,2,0.2,0,33,3.3,1.0499999523162842,1.0500000715255737,33.210000002384184,1.103111982345581,1.2192645072937012,0.999999886467351
16,1.348434919925785,10,1,0.7925574541091919,1,0.1,0,33,3.3,1.0499999523162842,1.0500000715255737,33.210000002384184,1.2113629579544067,1.2163784503936768,0.999999886467351
