,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,1,631377118,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,917,984426112.0,4190400.0,0.0,0.0,0.00513324
1,2,631377172,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,560581563,24117499904.0,79039800.0,0.0,0.0,0.096823755
2,1,631377430,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,781,5148435968.0,10564200.0,0.0,0.0,0.012941145
3,1,631377447,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,753,3934465536.0,14984100.0,0.0,0.0,0.0183555225
4,1,631377755,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,325,28188971008.0,81401400.0,0.0,0.0,0.099716715
5,3,631378722,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,251,180786896896.0,424987200.0,0.0,0.0,0.52060932
6,3,631378148,False,0.380877792835236,7470,6630,4520,0.00648752413577491,0.00256211748287498,0.7699930943355,300.529971588766,0.00030451203125,278503555,1,19257978880.0,97021800.0,74706116.0,248581.25,0.118851705
7,1,631377383,False,0.592495918273926,6350,6780,4280,0.0279220083182166,0.00181859079748392,0.587238013744354,322.908264160156,0.001310605909375,278503555,848,36180898608.0,588302976.0,345473856.0,1069882.375,0.7206711456
8,3,631378778,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,288,168850169856.0,470984384.0,0.0,0.0,0.5769558704
9,2,631376003,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,350,4543111168.0,12030300.0,0.0,0.0,0.0147371175
10,1,631377936,False,0.0102168200537562,5560,4620,5630,2.65196932668768e-06,5.08029870616156e-07,2.73365931207081e-05,53.8090286254883,1.24478391075134e-07,278503555,149,62712643584.0,200017792.0,5467.80517578125,101.615013122559,0.2450217952
11,3,631378195,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,30,9556190208.0,45703800.0,0.0,0.0,0.055987155
12,3,631378626,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,197,11574843904.0,50097600.0,0.0,0.0,0.06136956
13,2,631376173,False,0.113304421305656,8290,5960,6320,0.000116927764868353,3.90866152883973e-05,0.0167118683457375,427.559844970703,5.48836666259766e-06,278503555,525,38312034304.0,114624896.0,1915596.125,4480.29931640625,0.1404154976
14,1,631377181,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,1085,6199027712.0,33113700.0,0.0,0.0,0.0405642825
15,1,631376913,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,484682524,38930755584.0,183340800.0,0.0,0.0,0.22459248
16,3,631378667,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,218,405729525760.0,1080617344.0,0.0,0.0,1.3237562464
17,3,631378849,False,0.303508281707764,4270,4040,5500,0.00325699304167051,0.00374808068589998,3.71287586646004,990.607240774624,0.00015287705234375,278503555,333,10929434112.0,33296400.0,123625400.0,124797.59375,0.04078809
18,1,631377522,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,638,68542578688.0,197472608.0,0.0,0.0,0.2419039448
19,1,631377766,False,0.385424792766571,8560,5860,5640,0.00946993389689576,2.19471858144971e-05,0.00937411561608315,427.121551513672,0.0004445006671875,278503555,313,6408471826432.0,16533221376.0,154984336.0,362857.6875,20.2531961856
20,3,631378613,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,189,33006943232.0,81624600.0,0.0,0.0,0.099990135
21,3,631378961,False,0.20517186820507,7540,5720,3530,0.00163701796669017,3.4356408317617e-05,0.012361814556333,359.81102687018,7.68385066162109e-05,278503555,403,572822323200.0,1825723776.0,22569258.75,62725.3115234375,2.2365116256
22,1,631377512,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,654,157351493632.0,246657600.0,0.0,0.0,0.30215556
23,2,631375884,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,249,13512711168.0,35722800.0,0.0,0.0,0.04376043
24,3,631379985,False,0.0365211106836796,7070,3930,8580,7.87376629670089e-06,8.22778213676218e-07,0.000138089606810786,167.833329219784,3.69579598999023e-07,278503555,484682524,75076296704.0,366681600.0,50634.91796875,301.697631835938,0.44918496
25,3,631378215,False,0.000248379830736667,8200,5550,5310,6.37161857692329e-09,1.04173917686908e-09,9.56663869890152e-08,91.8333390096146,2.99071644991636e-10,278503555,46,45338764032.0,234358200.0,22.420202255249,0.244140118360519,0.287088795
26,2,631375801,False,0.359099060297012,7080,2900,6260,0.000647254315508839,0.000159877687110566,0.269655883312225,1686.63854980469,3.03808852539062e-05,278503555,186,58643496960.0,155123104.0,41829856.0,24800.72265625,0.1900258024
27,2,631376231,False,0.464971542358398,9500,2250,8600,0.00795448867837195,0.000778982182964683,0.48216649889946,618.969848632812,0.00037336855390625,278503555,579,84289413120.0,391267808.0,188656224.0,304790.65625,0.4793030648
28,2,631375737,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,132,2023172992.0,9615600.0,0.0,0.0,0.01177911
29,2,631376671,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,943,699735212032.0,1660181376.0,0.0,0.0,2.0337221856
30,1,631378047,False,0.347454875707626,6110,2800,5510,0.0103991202240474,0.000148584064523844,0.0548992575756765,369.482809287846,0.000488114904293823,278503555,73,450558454552.0,2681721944.0,147224543.75,398461.146362305,3.2851093814
31,1,631377426,False,0.316867798566818,6700,7470,2270,0.000798380552476858,5.70495139982086e-05,0.0259782318025827,455.362915039062,3.74744630859375e-05,278503555,788,174616100864.0,536225408.0,13930188.0,30591.3984375,0.6568761248
32,1,631377188,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,1077,26961876992.0,68095800.0,0.0,0.0,0.083417355
33,1,631377828,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,237,984426112.0,4190400.0,0.0,0.0,0.00513324
34,3,631379271,False,0.215626835823059,7330,7310,2920,0.00147490693455404,5.22258645747736e-05,0.0228070088376109,436.699497907925,6.92293234130859e-05,278503555,655,319408209920.0,1082102400.0,24679519.0,56513.7333984375,1.32557544
35,3,631379053,False,0.380877792835236,7470,6630,4520,0.00683571968372933,7.56447691958028e-05,0.0225735516607067,298.415236118656,0.000320855667336857,278503555,467,1179612183552.0,3462539400.0,78161812.0231323,261922.993744373,4.241610765
36,2,631376331,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,654,140449726464.0,246657600.0,0.0,0.0,0.30215556
37,2,631377090,False,0.00210214452818036,7330,340,7470,8.86498199060154e-08,5.24498720023371e-09,5.37319775466875e-07,102.444439796332,4.1610537648201e-09,278503555,312782546,284789437952.0,647623808.0,347.981079101562,3.39677858352661,0.7933391648
38,2,631376707,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,970,28415088640.0,107688600.0,0.0,0.0,0.131918535
39,1,631377207,False,0.214861154556274,10850,3960,2080,0.000455488485625445,6.81166966387536e-06,0.00170355732552707,250.093948364258,2.13797623046875e-05,278503555,1056,1445207474176.0,2562201088.0,4364856.5,17452.8671875,3.1386963328
40,2,631376651,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,182305697,71467474944.0,149164192.0,0.0,0.0,0.1827261352
41,1,631377232,False,0.0466099381446838,8450,2150,1060,3.80408942136843e-05,5.29092268371417e-06,0.00195886045306814,370.230405955024,1.78556714782715e-06,278503555,1027,115994589184.0,275491804.0,539650.0,1457.60583496094,0.3374774599
42,2,631376742,False,0.204835563898087,2380,2110,7500,0.00181493943854045,1.17977702636818e-05,0.00220117486050699,186.575497853443,8.51898017578125e-05,278503555,993,2157492370432.0,5894562596.0,12974963.0,69542.6953125,7.2208391801
43,3,631379051,False,1.0,7460,2040,6080,0.131895063469562,0.00403213436035002,7.93440628020631,1967.7931266947,0.0061909031625,278503555,466,311779212935.75,1253380480.0,9944829952.0,5053798.5,1.535391088
44,2,631375721,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,121,5420870144.0,17208000.0,0.0,0.0,0.0210798
45,1,631377610,False,0.186124160885811,2620,4810,5660,0.00129326325735271,2.33680457313312e-05,0.0054189870133996,231.897308349609,6.07033150390625e-05,278503555,507,653828358144.0,2120576384.0,11491376.0,49553.7265625,2.5977060704
46,3,631379146,False,0.249615535140038,13100,7150,7320,0.00175633306730435,0.000511537734857675,0.100140582053293,195.763821961552,8.24389302734375e-05,278503555,553,1331930560.0,131558400.0,13174334.75,67297.0859375,0.16115904
47,3,631379462,False,0.00169531046412885,4450,4670,2840,6.847734563076e-08,6.03821450899814e-08,3.95631945325409e-05,655.213465397492,3.21419622898102e-09,278503555,831,11375903744.0,43453800.0,1719.17114257812,2.62383365631104,0.053230905
48,3,631380058,False,0.160658612847328,7110,6690,4440,0.00135225055923419,1.01257840138752e-05,0.00251449213277478,248.325673284084,6.34720666826725e-05,278503555,290,1694649731968.0,5117029152.0,12866729.5458832,51813.9319858551,6.2683607112
49,3,631379452,True,1.0,7590,2170,6070,0.0423401820160545,0.634790839845384,4042.48792376393,6368.22031765386,0.00198736753179932,278503555,822,11605427464.0,2555709.28320312,10331423914.0,1622340.84228516,0.00313074387192383
50,1,631377593,False,0.000308493385091424,2600,4390,4010,7.24601070667625e-09,5.23935739238368e-09,6.68392317493272e-07,127.571426391602,3.40113946795464e-10,278503555,538,7464721408.0,52992000.0,35.4194450378418,0.277644038200378,0.0649152
51,2,631375616,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,278503555,23,83221020672.0,222466496.0,0.0,0.0,0.2725214576
52,1,631377479,False,0.401510685682297,3500,5450,5690,0.0221893127455673,5.77706523472443e-05,0.0224335826933384,388.321411132812,0.00104152409375,278503555,698,4831769354240.0,14717225984.0,330160096.0,850223.75,18.0286018304
53,1,631377489,False,0.518275201320648,7950,1990,5190,0.00963182268651473,0.000488539109937847,0.552731871604919,1131.3974609375,0.00045209941875,278503555,687,332072255488.0,755437504.0,417554400.0,369060.75,0.9254109424
54,2,631376000,False,0.170723304152489,8220,5500,5730,0.000477373452726827,2.2299820079171e-05,0.00528056166679131,236.798397836563,2.24070009933472e-05,278503555,348,273149504768.0,820250088.0,4331381.171875,18291.4293823242,1.0048063578
