current_nA,firing_rate_Hz
0.000000000000000000e+00,3.850000000000000000e+02
5.000000000000000278e-02,2.700000000000000000e+02
1.000000000000000056e-01,2.680000000000000000e+02
1.500000000000000222e-01,2.810000000000000000e+02
2.000000000000000111e-01,2.720000000000000000e+02
2.500000000000000000e-01,2.670000000000000000e+02
3.000000000000000444e-01,2.610000000000000000e+02
3.500000000000000333e-01,2.550000000000000000e+02
4.000000000000000222e-01,2.560000000000000000e+02
